                                                                   filename         r1         r2         r3         r4         r5    step_volume    gmsh_volume      nodes   elements     pre_time    biax_time   shear_time   total_time     biax_react          E_eff    shear_react          G_eff
       fcc[r1=6.859_r2=6.689_r3=6.791_r4=8.002_r5=2.144_vol=111857.930].msh     6.8590     6.6890     6.7910     8.0020     2.1440    111857.9300    111689.3048     288602    1624224       8.6922      10.7293      13.9979      33.4274       429.4417        21.4721       194.1124         9.7056
       fcc[r1=6.862_r2=7.386_r3=7.437_r4=5.817_r5=7.547_vol=139702.424].msh     6.8620     7.3860     7.4370     5.8170     7.5470    139702.4240    139518.8437     332958    1905652      10.6597      13.9321      17.0100      41.6118       555.7925        27.7896       244.3817        12.2191
       fcc[r1=6.863_r2=3.206_r3=7.489_r4=7.247_r5=8.185_vol=126215.091].msh     6.8630     3.2060     7.4890     7.2470     8.1850    126215.0910    126087.4166     314212    1780132       9.6768      12.2523      15.5060      37.4442       489.2364        24.4618       214.7406        10.7370
       fcc[r1=6.863_r2=4.991_r3=2.737_r4=9.485_r5=8.423_vol=122120.837].msh     6.8630     4.9910     2.7370     9.4850     8.4230    122120.8370    121948.8843     313119    1766706       9.5216      12.2122      15.4029      37.1456       470.7367        23.5368       207.2677        10.3634
       fcc[r1=6.864_r2=5.499_r3=8.248_r4=6.000_r5=4.264_vol=115004.185].msh     6.8640     5.4990     8.2480     6.0000     4.2640    115004.1850    114843.4301     290645    1640870       8.8602      10.8857      14.2741      34.0283       440.3267        22.0163       199.5643         9.9782
        fcc[r1=6.865_r2=7.722_r3=1.991_r4=3.644_r5=4.871_vol=83741.884].msh     6.8650     7.7220     1.9910     3.6440     4.8710     83741.8840     83591.0527     319186    1768873       9.1583      11.2227      17.2433      37.6329       310.9536        15.5477       143.0719         7.1536
       fcc[r1=6.866_r2=4.729_r3=4.331_r4=5.191_r5=9.677_vol=112958.112].msh     6.8660     4.7290     4.3310     5.1910     9.6770    112958.1120    112790.9720     290196    1627400       8.6237      10.6905      13.9914      33.3138       428.1102        21.4055       191.6960         9.5848
       fcc[r1=6.866_r2=4.994_r3=5.700_r4=2.855_r5=8.964_vol=106508.045].msh     6.8660     4.9940     5.7000     2.8550     8.9640    106508.0450    106340.2133     276680    1551847       8.2038       9.8781      13.4277      31.5177       399.5658        19.9783       182.1308         9.1065
       fcc[r1=6.866_r2=5.954_r3=5.593_r4=5.678_r5=4.661_vol=103668.202].msh     6.8660     5.9540     5.5930     5.6780     4.6610    103668.2020    103496.5338     272458    1529414       8.1181       9.7497      13.1118      30.9875       390.2564        19.5128       179.2695         8.9635
       fcc[r1=6.868_r2=7.170_r3=6.109_r4=2.522_r5=7.374_vol=110559.492].msh     6.8680     7.1700     6.1090     2.5220     7.3740    110559.4920    110380.8058     286239    1611590       8.6131      10.5636      14.0866      33.2715       421.3080        21.0654       192.1046         9.6052
       fcc[r1=6.870_r2=9.811_r3=5.211_r4=6.190_r5=5.168_vol=127761.789].msh     6.8700     9.8110     5.2110     6.1900     5.1680    127761.7890    127550.6965     316532    1794692       9.7775      12.5236      15.8735      38.1837       505.6440        25.2822       224.9670        11.2484
        fcc[r1=6.872_r2=2.000_r3=5.396_r4=3.113_r5=6.732_vol=78787.451].msh     6.8720     2.0000     5.3960     3.1130     6.7320     78787.4510     78725.2419     310484    1715496       8.7382      10.6528      16.7632      36.1625       284.0195        14.2010       131.7250         6.5863
        fcc[r1=6.872_r2=9.195_r3=3.770_r4=6.499_r5=1.480_vol=95609.302].msh     6.8720     9.1950     3.7700     6.4990     1.4800     95609.3020     95430.9114     270592    1495116       7.6376       9.4581      12.9724      30.0755       366.2098        18.3105       163.7516         8.1876
       fcc[r1=6.873_r2=9.106_r3=5.172_r4=9.325_r5=4.052_vol=135828.892].msh     6.8730     9.1060     5.1720     9.3250     4.0520    135828.8920    135628.2715     329567    1878090      10.3991      13.7644      16.7864      40.9597       541.4966        27.0748       239.2474        11.9624
       fcc[r1=6.874_r2=5.693_r3=9.902_r4=9.313_r5=5.268_vol=151388.124].msh     6.8740     5.6930     9.9020     9.3130     5.2680    151388.1240    151196.1156     278497    1587295       8.7485      11.2790      13.1728      33.2088       616.5419        30.8271       265.4296        13.2715
        fcc[r1=6.879_r2=2.338_r3=7.235_r4=2.140_r5=4.855_vol=76644.250].msh     6.8790     2.3380     7.2350     2.1400     4.8550     76644.2500     76573.2126     300715    1662025       8.5244      10.1067      16.0673      34.7063       277.6468        13.8823       129.8593         6.4930
        fcc[r1=6.879_r2=4.293_r3=9.503_r4=2.689_r5=3.850_vol=94691.333].msh     6.8790     4.2930     9.5030     2.6890     3.8500     94691.3330     94556.7184     261702    1457853       7.6060       9.1005      12.6027      29.3168       354.1658        17.7083       162.6844         8.1342
       fcc[r1=6.880_r2=5.163_r3=8.314_r4=4.950_r5=5.987_vol=117916.562].msh     6.8800     5.1630     8.3140     4.9500     5.9870    117916.5620    117752.6390     297573    1685564       9.1615      11.4954      14.8623      35.5278       451.7435        22.5872       204.3723        10.2186
       fcc[r1=6.880_r2=8.337_r3=2.912_r4=8.873_r5=2.599_vol=107664.483].msh     6.8800     8.3370     2.9120     8.8730     2.5990    107664.4830    107477.9437     282802    1586240       8.4937      10.3918      13.8823      32.7759       411.5146        20.5757       187.2736         9.3637
       fcc[r1=6.881_r2=7.866_r3=4.160_r4=5.914_r5=7.461_vol=123388.096].msh     6.8810     7.8660     4.1600     5.9140     7.4610    123388.0960    123192.1891     305375    1732216       9.4890      11.8454      15.2739      36.6172       477.5402        23.8770       214.7582        10.7379
        fcc[r1=6.883_r2=4.423_r3=2.801_r4=1.075_r5=1.487_vol=45724.953].msh     6.8830     4.4230     2.8010     1.0750     1.4870     45724.9530     45643.0308     316083    1655065       7.2316       8.9751      19.5966      35.8107       166.5310         8.3265        73.0128         3.6506
        fcc[r1=6.884_r2=2.828_r3=5.913_r4=5.034_r5=2.080_vol=73101.021].msh     6.8840     2.8280     5.9130     5.0340     2.0800     73101.0210     73039.8077     397064    2205737      11.3652      14.6306      24.4966      50.5031       265.0535        13.2527       123.4182         6.1709
       fcc[r1=6.884_r2=8.981_r3=8.256_r4=4.916_r5=5.017_vol=131753.018].msh     6.8840     8.9810     8.2560     4.9160     5.0170    131753.0180    131560.0184     327088    1856394      10.1554      13.3054      16.5934      40.0636       526.3952        26.3198       232.1800        11.6090
       fcc[r1=6.885_r2=5.488_r3=8.270_r4=9.394_r5=8.053_vol=157860.761].msh     6.8850     5.4880     8.2700     9.3940     8.0530    157860.7610    157663.0140     286222    1635401       9.0731      11.4651      13.6355      34.1824       650.1082        32.5054       275.5737        13.7787
        fcc[r1=6.886_r2=3.662_r3=2.332_r4=8.123_r5=5.508_vol=90642.059].msh     6.8860     3.6620     2.3320     8.1230     5.5080     90642.0590     90508.5220     261719    1449600       7.4645       8.8228      12.5029      28.7975       331.8780        16.5939       152.3005         7.6150
       fcc[r1=6.887_r2=4.955_r3=5.374_r4=9.107_r5=2.892_vol=106333.055].msh     6.8870     4.9550     5.3740     9.1070     2.8920    106333.0550    106172.8134     275466    1547306       8.1863       9.4707      13.5124      31.1772       400.2872        20.0144       183.4604         9.1730
        fcc[r1=6.888_r2=1.085_r3=6.345_r4=4.322_r5=8.821_vol=93915.329].msh     6.8880     1.0850     6.3450     4.3220     8.8210     93915.3290     93855.2575     273689    1515774       7.7479       9.2195      12.6602      29.6352       345.6215        17.2811       155.5599         7.7780
        fcc[r1=6.888_r2=9.144_r3=4.041_r4=1.836_r5=5.523_vol=94877.903].msh     6.8880     9.1440     4.0410     1.8360     5.5230     94877.9030     94696.3197     266687    1475513       8.5169       9.0214      12.7089      30.2545       360.9552        18.0478       163.6725         8.1836
        fcc[r1=6.889_r2=4.810_r3=1.505_r4=5.609_r5=9.224_vol=96676.134].msh     6.8890     4.8100     1.5050     5.6090     9.2240     96676.1340     96506.5593     276973    1538130       7.9532       9.3443      13.1787      30.4838       357.8856        17.8943       162.0939         8.1047
       fcc[r1=6.889_r2=8.099_r3=9.487_r4=8.984_r5=8.993_vol=186186.188].msh     6.8890     8.0990     9.4870     8.9840     8.9930    186186.1880    185973.6985     324873    1873693      10.6088      15.0198      16.6595      42.2980       813.3750        40.6688       333.0768        16.6538
       fcc[r1=6.890_r2=8.097_r3=9.774_r4=4.955_r5=9.770_vol=167188.462].msh     6.8900     8.0970     9.7740     4.9550     9.7700    167188.4620    166968.9052     298223    1710280       9.5794      12.8286      14.4923      36.9093       702.0090        35.1004       296.6106        14.8305
       fcc[r1=6.891_r2=6.262_r3=5.982_r4=1.647_r5=8.189_vol=104830.743].msh     6.8910     6.2620     5.9820     1.6470     8.1890    104830.7430    104655.9045     275155    1543013       8.1882       9.4255      13.3319      30.9533       394.9446        19.7472       181.2154         9.0608
        fcc[r1=6.891_r2=9.919_r3=4.868_r4=3.793_r5=2.504_vol=95195.659].msh     6.8910     9.9190     4.8680     3.7930     2.5040     95195.6590     95005.0234     275585    1520662       7.7287       9.5200      13.0844      30.3406       368.0514        18.4026       162.4948         8.1247
        fcc[r1=6.892_r2=7.714_r3=4.452_r4=2.127_r5=5.720_vol=93085.534].msh     6.8920     7.7140     4.4520     2.1270     5.7200     93085.5340     92912.5696     258492    1429678       7.3874       8.7025      12.4420      28.5390       350.2398        17.5120       160.4935         8.0247
        fcc[r1=6.893_r2=4.270_r3=4.701_r4=1.798_r5=9.066_vol=91806.700].msh     6.8930     4.2700     4.7010     1.7980     9.0660     91806.7000     91659.2899     259628    1437518       7.3641       8.9418      12.3412      28.6541       337.6516        16.8826       155.3773         7.7689
       fcc[r1=6.893_r2=6.549_r3=9.607_r4=7.734_r5=5.322_vol=145630.902].msh     6.8930     6.5490     9.6070     7.7340     5.3220    145630.9020    145464.9749     349131    2000983      11.2421      15.3947      18.0561      44.7032       587.5599        29.3780       255.7472        12.7874
        fcc[r1=6.894_r2=2.328_r3=9.108_r4=1.276_r5=7.778_vol=96433.570].msh     6.8940     2.3280     9.1080     1.2760     7.7780     96433.5700     96328.6111     262711    1465797       7.6729       9.1630      12.6543      29.4976       356.1829        17.8091       164.1211         8.2061
        fcc[r1=6.894_r2=2.909_r3=1.053_r4=5.356_r5=4.483_vol=62425.069].msh     6.8940     2.9090     1.0530     5.3560     4.4830     62425.0690     62367.4727     369240    2012151      10.0462      12.3846      22.7517      45.1929       222.5341        11.1267       103.3225         5.1661
       fcc[r1=6.894_r2=6.729_r3=5.522_r4=5.274_r5=6.273_vol=114560.528].msh     6.8940     6.7290     5.5220     5.2740     6.2730    114560.5280    114381.5826     291514    1646012       8.9140      11.0012      14.5354      34.4589       437.7686        21.8884       199.0003         9.9500
       fcc[r1=6.895_r2=4.585_r3=6.978_r4=4.607_r5=8.855_vol=120977.056].msh     6.8950     4.5850     6.9780     4.6070     8.8550    120977.0560    120814.5300     301908    1708800       9.3098      11.6055      14.8952      35.8195       463.9945        23.1997       207.4745        10.3737
       fcc[r1=6.895_r2=5.072_r3=6.154_r4=9.602_r5=2.773_vol=113314.357].msh     6.8950     5.0720     6.1540     9.6020     2.7730    113314.3570    113149.9352     287801    1625201       8.8001      10.8580      14.3677      34.0344       431.2072        21.5604       196.0788         9.8039
        fcc[r1=6.896_r2=1.850_r3=2.788_r4=7.667_r5=2.344_vol=67156.848].msh     6.8960     1.8500     2.7880     7.6670     2.3440     67156.8480     67118.4225     375375    2067734      10.4667      13.0313      22.9970      46.5047       239.7021        11.9851       112.0922         5.6046
        fcc[r1=6.897_r2=1.694_r3=1.557_r4=8.935_r5=3.616_vol=71181.815].msh     6.8970     1.6940     1.5570     8.9350     3.6160     71181.8150     71146.7961     397597    2194752      11.1454      14.3963      23.8433      49.3954       253.9155        12.6958       117.1224         5.8561
       fcc[r1=6.898_r2=8.091_r3=4.183_r4=6.209_r5=3.559_vol=103899.880].msh     6.8980     8.0910     4.1830     6.2090     3.5590    103899.8800    103718.6325     279202    1561023       8.2873       9.9673      13.3260      31.5885       396.1938        19.8097       180.3590         9.0179
        fcc[r1=6.899_r2=1.092_r3=1.482_r4=1.311_r5=6.975_vol=47374.702].msh     6.8990     1.0920     1.4820     1.3110     6.9750     47374.7020     47336.3362     340294    1808224       8.2535      10.3756      20.3360      38.9733       166.5865         8.3293        76.1143         3.8057
        fcc[r1=6.900_r2=1.687_r3=1.582_r4=2.393_r5=3.586_vol=43660.472].msh     6.9000     1.6870     1.5820     2.3930     3.5860     43660.4720     43630.6257     312752    1651329       7.3774       9.1009      19.1743      35.6600       154.9727         7.7486        71.1209         3.5560
        fcc[r1=6.900_r2=5.686_r3=1.543_r4=3.271_r5=8.019_vol=84729.557].msh     6.9000     5.6860     1.5430     3.2710     8.0190     84729.5570     84586.1455     324917    1800104       9.2744      11.4617      16.9769      37.7216       309.9851        15.4993       142.9927         7.1496
       fcc[r1=6.900_r2=7.789_r3=5.924_r4=8.826_r5=1.999_vol=117156.392].msh     6.9000     7.7890     5.9240     8.8260     1.9990    117156.3920    116980.7415     300273    1693554       9.1528      11.2082      14.8949      35.2645       455.2599        22.7630       204.3337        10.2167
